stage,name,num_frames,avg_num_clusters,min_num_clusters,max_num_clusters,std_num_clusters,avg_noise_ratio,avg_runtime_sec,frames_with_less_than_2_clusters,ratio_frames_at_least_2_clusters
A_baseline,kmeans_spatial_xy,541,3.0,3,3,0.0,0.0,0.0080529237630847,0,1.0
A_baseline,dbscan_spatial_xy,541,4.652495378927911,2,8,1.216148391316137,0.0770965250759736,0.0008496607958499,0,1.0
A_baseline,agglomerative_spatial_xy,541,3.0,3,3,0.0,0.0,0.0003719937999675,0,1.0
A_baseline,gmm_spatial_xy,541,3.0,3,3,0.0,0.0,0.0246468427661606,0,1.0
B_motion,instant_velocity,541,7.369685767097967,2,14,2.3890424420599388,0.3329370505702192,0.0006514252223721,0,1.0
B_motion,window_velocity,541,7.652495378927911,2,14,2.4452028361060005,0.317104055546745,0.0006574663349088,0,1.0
B_motion,momentum,541,7.8077634011090575,2,15,2.5099828071254686,0.3069246586953033,0.000670871981411,0,1.0
B_motion,direction,541,7.024029574861368,2,14,2.2528531767873257,0.2984519565967196,0.000727501461995,0,1.0
