time_step,method,feature_mode,num_pedestrians,num_clusters,raw_num_clusters,used_fallback,runtime_sec,window_size,beta,n_clusters_param,dist_threshold,vel_threshold,sigma_d,sigma_v
0,relation_graph,temporal_relation,29,11,11,0,0.0058002471923828125,5,0.7,3,2.0,0.15,2.0,0.1
10,relation_graph,temporal_relation,30,12,12,0,0.006479978561401367,5,0.7,3,2.0,0.15,2.0,0.1
20,relation_graph,temporal_relation,31,13,13,0,0.0067920684814453125,5,0.7,3,2.0,0.15,2.0,0.1
30,relation_graph,temporal_relation,32,15,15,0,0.006608009338378906,5,0.7,3,2.0,0.15,2.0,0.1
40,relation_graph,temporal_relation,33,15,15,0,0.007400035858154297,5,0.7,3,2.0,0.15,2.0,0.1
50,relation_graph,temporal_relation,36,13,13,0,0.008514404296875,5,0.7,3,2.0,0.15,2.0,0.1
60,relation_graph,temporal_relation,37,12,12,0,0.008980512619018555,5,0.7,3,2.0,0.15,2.0,0.1
70,relation_graph,temporal_relation,38,10,10,0,0.009567737579345703,5,0.7,3,2.0,0.15,2.0,0.1
80,relation_graph,temporal_relation,38,10,10,0,0.009802103042602539,5,0.7,3,2.0,0.15,2.0,0.1
90,relation_graph,temporal_relation,39,9,9,0,0.01047372817993164,5,0.7,3,2.0,0.15,2.0,0.1
100,relation_graph,temporal_relation,38,9,9,0,0.012176990509033203,5,0.7,3,2.0,0.15,2.0,0.1
110,relation_graph,temporal_relation,37,10,10,0,0.013666629791259766,5,0.7,3,2.0,0.15,2.0,0.1
120,relation_graph,temporal_relation,36,13,13,0,0.010828733444213867,5,0.7,3,2.0,0.15,2.0,0.1
130,relation_graph,temporal_relation,36,11,11,0,0.009207487106323242,5,0.7,3,2.0,0.15,2.0,0.1
140,relation_graph,temporal_relation,36,12,12,0,0.009084463119506836,5,0.7,3,2.0,0.15,2.0,0.1
150,relation_graph,temporal_relation,37,10,10,0,0.009361743927001953,5,0.7,3,2.0,0.15,2.0,0.1
160,relation_graph,temporal_relation,35,11,11,0,0.008594989776611328,5,0.7,3,2.0,0.15,2.0,0.1
170,relation_graph,temporal_relation,36,9,9,0,0.010909557342529297,5,0.7,3,2.0,0.15,2.0,0.1
180,relation_graph,temporal_relation,34,5,5,0,0.01470184326171875,5,0.7,3,2.0,0.15,2.0,0.1
190,relation_graph,temporal_relation,37,7,7,0,0.0159914493560791,5,0.7,3,2.0,0.15,2.0,0.1
200,relation_graph,temporal_relation,37,5,5,0,0.016193866729736328,5,0.7,3,2.0,0.15,2.0,0.1
210,relation_graph,temporal_relation,37,5,5,0,0.016795873641967773,5,0.7,3,2.0,0.15,2.0,0.1
220,relation_graph,temporal_relation,37,8,8,0,0.016353130340576172,5,0.7,3,2.0,0.15,2.0,0.1
230,relation_graph,temporal_relation,36,7,7,0,0.014008760452270508,5,0.7,3,2.0,0.15,2.0,0.1
240,relation_graph,temporal_relation,37,7,7,0,0.0091400146484375,5,0.7,3,2.0,0.15,2.0,0.1
250,relation_graph,temporal_relation,36,5,5,0,0.00882411003112793,5,0.7,3,2.0,0.15,2.0,0.1
260,relation_graph,temporal_relation,37,7,7,0,0.01350259780883789,5,0.7,3,2.0,0.15,2.0,0.1
270,relation_graph,temporal_relation,36,6,6,0,0.01294398307800293,5,0.7,3,2.0,0.15,2.0,0.1
280,relation_graph,temporal_relation,35,5,5,0,0.009412050247192383,5,0.7,3,2.0,0.15,2.0,0.1
290,relation_graph,temporal_relation,35,6,6,0,0.008894681930541992,5,0.7,3,2.0,0.15,2.0,0.1
300,relation_graph,temporal_relation,35,5,5,0,0.008589029312133789,5,0.7,3,2.0,0.15,2.0,0.1
310,relation_graph,temporal_relation,32,5,5,0,0.007262706756591797,5,0.7,3,2.0,0.15,2.0,0.1
320,relation_graph,temporal_relation,33,7,7,0,0.007625102996826172,5,0.7,3,2.0,0.15,2.0,0.1
330,relation_graph,temporal_relation,35,8,8,0,0.008223772048950195,5,0.7,3,2.0,0.15,2.0,0.1
340,relation_graph,temporal_relation,36,8,8,0,0.00875091552734375,5,0.7,3,2.0,0.15,2.0,0.1
350,relation_graph,temporal_relation,36,9,9,0,0.008774995803833008,5,0.7,3,2.0,0.15,2.0,0.1
360,relation_graph,temporal_relation,36,7,7,0,0.012657642364501953,5,0.7,3,2.0,0.15,2.0,0.1
370,relation_graph,temporal_relation,36,7,7,0,0.013189554214477539,5,0.7,3,2.0,0.15,2.0,0.1
380,relation_graph,temporal_relation,36,7,7,0,0.009456157684326172,5,0.7,3,2.0,0.15,2.0,0.1
390,relation_graph,temporal_relation,36,7,7,0,0.009191751480102539,5,0.7,3,2.0,0.15,2.0,0.1
400,relation_graph,temporal_relation,37,6,6,0,0.009356975555419922,5,0.7,3,2.0,0.15,2.0,0.1
410,relation_graph,temporal_relation,37,9,9,0,0.009399175643920898,5,0.7,3,2.0,0.15,2.0,0.1
420,relation_graph,temporal_relation,37,6,6,0,0.009406089782714844,5,0.7,3,2.0,0.15,2.0,0.1
430,relation_graph,temporal_relation,37,9,9,0,0.009450912475585938,5,0.7,3,2.0,0.15,2.0,0.1
440,relation_graph,temporal_relation,37,7,7,0,0.0096588134765625,5,0.7,3,2.0,0.15,2.0,0.1
450,relation_graph,temporal_relation,37,8,8,0,0.010715484619140625,5,0.7,3,2.0,0.15,2.0,0.1
460,relation_graph,temporal_relation,38,9,9,0,0.016353845596313477,5,0.7,3,2.0,0.15,2.0,0.1
470,relation_graph,temporal_relation,36,8,8,0,0.015109062194824219,5,0.7,3,2.0,0.15,2.0,0.1
480,relation_graph,temporal_relation,36,8,8,0,0.013701200485229492,5,0.7,3,2.0,0.15,2.0,0.1
490,relation_graph,temporal_relation,36,9,9,0,0.014905691146850586,5,0.7,3,2.0,0.15,2.0,0.1
500,relation_graph,temporal_relation,37,8,8,0,0.01365518569946289,5,0.7,3,2.0,0.15,2.0,0.1
510,relation_graph,temporal_relation,36,7,7,0,0.015106916427612305,5,0.7,3,2.0,0.15,2.0,0.1
520,relation_graph,temporal_relation,36,11,11,0,0.012520551681518555,5,0.7,3,2.0,0.15,2.0,0.1
530,relation_graph,temporal_relation,36,11,11,0,0.013721227645874023,5,0.7,3,2.0,0.15,2.0,0.1
540,relation_graph,temporal_relation,37,12,12,0,0.009753704071044922,5,0.7,3,2.0,0.15,2.0,0.1
550,relation_graph,temporal_relation,38,12,12,0,0.009743213653564453,5,0.7,3,2.0,0.15,2.0,0.1
560,relation_graph,temporal_relation,38,10,10,0,0.009768486022949219,5,0.7,3,2.0,0.15,2.0,0.1
570,relation_graph,temporal_relation,39,10,10,0,0.010301351547241211,5,0.7,3,2.0,0.15,2.0,0.1
580,relation_graph,temporal_relation,39,11,11,0,0.010479927062988281,5,0.7,3,2.0,0.15,2.0,0.1
590,relation_graph,temporal_relation,38,10,10,0,0.009981155395507812,5,0.7,3,2.0,0.15,2.0,0.1
600,relation_graph,temporal_relation,37,9,9,0,0.009667634963989258,5,0.7,3,2.0,0.15,2.0,0.1
610,relation_graph,temporal_relation,34,9,9,0,0.010666847229003906,5,0.7,3,2.0,0.15,2.0,0.1
620,relation_graph,temporal_relation,35,10,10,0,0.012378454208374023,5,0.7,3,2.0,0.15,2.0,0.1
630,relation_graph,temporal_relation,38,12,12,0,0.011180639266967773,5,0.7,3,2.0,0.15,2.0,0.1
640,relation_graph,temporal_relation,37,10,10,0,0.009057998657226562,5,0.7,3,2.0,0.15,2.0,0.1
650,relation_graph,temporal_relation,35,11,11,0,0.008319616317749023,5,0.7,3,2.0,0.15,2.0,0.1
660,relation_graph,temporal_relation,35,12,12,0,0.008634090423583984,5,0.7,3,2.0,0.15,2.0,0.1
670,relation_graph,temporal_relation,36,11,11,0,0.009022712707519531,5,0.7,3,2.0,0.15,2.0,0.1
680,relation_graph,temporal_relation,35,11,11,0,0.008544206619262695,5,0.7,3,2.0,0.15,2.0,0.1
690,relation_graph,temporal_relation,35,11,11,0,0.00845479965209961,5,0.7,3,2.0,0.15,2.0,0.1
700,relation_graph,temporal_relation,35,11,11,0,0.00837564468383789,5,0.7,3,2.0,0.15,2.0,0.1
710,relation_graph,temporal_relation,35,10,10,0,0.010532855987548828,5,0.7,3,2.0,0.15,2.0,0.1
720,relation_graph,temporal_relation,39,12,12,0,0.014160394668579102,5,0.7,3,2.0,0.15,2.0,0.1
730,relation_graph,temporal_relation,38,11,11,0,0.009968996047973633,5,0.7,3,2.0,0.15,2.0,0.1
740,relation_graph,temporal_relation,38,12,12,0,0.00995182991027832,5,0.7,3,2.0,0.15,2.0,0.1
750,relation_graph,temporal_relation,41,10,10,0,0.011211633682250977,5,0.7,3,2.0,0.15,2.0,0.1
760,relation_graph,temporal_relation,42,10,10,0,0.011839628219604492,5,0.7,3,2.0,0.15,2.0,0.1
770,relation_graph,temporal_relation,42,9,9,0,0.011880874633789062,5,0.7,3,2.0,0.15,2.0,0.1
780,relation_graph,temporal_relation,42,11,11,0,0.011744499206542969,5,0.7,3,2.0,0.15,2.0,0.1
790,relation_graph,temporal_relation,44,8,8,0,0.015024185180664062,5,0.7,3,2.0,0.15,2.0,0.1
800,relation_graph,temporal_relation,45,7,7,0,0.019528627395629883,5,0.7,3,2.0,0.15,2.0,0.1
810,relation_graph,temporal_relation,47,8,8,0,0.01550436019897461,5,0.7,3,2.0,0.15,2.0,0.1
820,relation_graph,temporal_relation,46,8,8,0,0.014209747314453125,5,0.7,3,2.0,0.15,2.0,0.1
830,relation_graph,temporal_relation,44,9,9,0,0.012821674346923828,5,0.7,3,2.0,0.15,2.0,0.1
840,relation_graph,temporal_relation,42,9,9,0,0.011966466903686523,5,0.7,3,2.0,0.15,2.0,0.1
850,relation_graph,temporal_relation,43,10,10,0,0.012644052505493164,5,0.7,3,2.0,0.15,2.0,0.1
860,relation_graph,temporal_relation,42,10,10,0,0.016047954559326172,5,0.7,3,2.0,0.15,2.0,0.1
870,relation_graph,temporal_relation,42,9,9,0,0.015583992004394531,5,0.7,3,2.0,0.15,2.0,0.1
880,relation_graph,temporal_relation,44,10,10,0,0.013078927993774414,5,0.7,3,2.0,0.15,2.0,0.1
890,relation_graph,temporal_relation,45,10,10,0,0.013736248016357422,5,0.7,3,2.0,0.15,2.0,0.1
900,relation_graph,temporal_relation,45,8,8,0,0.013658285140991211,5,0.7,3,2.0,0.15,2.0,0.1
910,relation_graph,temporal_relation,46,10,10,0,0.014161109924316406,5,0.7,3,2.0,0.15,2.0,0.1
920,relation_graph,temporal_relation,46,12,12,0,0.014217615127563477,5,0.7,3,2.0,0.15,2.0,0.1
930,relation_graph,temporal_relation,45,8,8,0,0.018032550811767578,5,0.7,3,2.0,0.15,2.0,0.1
940,relation_graph,temporal_relation,48,8,8,0,0.018738508224487305,5,0.7,3,2.0,0.15,2.0,0.1
