time_step,method,feature_mode,num_pedestrians,num_clusters,raw_num_clusters,used_fallback,runtime_sec,window_size,beta,n_clusters_param,dist_threshold,vel_threshold,sigma_d,sigma_v
550,relation_graph,temporal_relation,38,7,7,0,0.009668350219726562,5,0.7,3,2.5,0.2,2.0,0.1
560,relation_graph,temporal_relation,38,7,7,0,0.009652853012084961,5,0.7,3,2.5,0.2,2.0,0.1
570,relation_graph,temporal_relation,39,6,6,0,0.011701345443725586,5,0.7,3,2.5,0.2,2.0,0.1
580,relation_graph,temporal_relation,39,7,7,0,0.010392189025878906,5,0.7,3,2.5,0.2,2.0,0.1
590,relation_graph,temporal_relation,38,7,7,0,0.00989222526550293,5,0.7,3,2.5,0.2,2.0,0.1
600,relation_graph,temporal_relation,37,8,8,0,0.009551286697387695,5,0.7,3,2.5,0.2,2.0,0.1
610,relation_graph,temporal_relation,34,9,9,0,0.011808395385742188,5,0.7,3,2.5,0.2,2.0,0.1
620,relation_graph,temporal_relation,35,9,9,0,0.012022256851196289,5,0.7,3,2.5,0.2,2.0,0.1
630,relation_graph,temporal_relation,38,9,9,0,0.00934147834777832,5,0.7,3,2.5,0.2,2.0,0.1
640,relation_graph,temporal_relation,37,9,9,0,0.008946895599365234,5,0.7,3,2.5,0.2,2.0,0.1
650,relation_graph,temporal_relation,35,7,7,0,0.008303165435791016,5,0.7,3,2.5,0.2,2.0,0.1
660,relation_graph,temporal_relation,35,8,8,0,0.008443832397460938,5,0.7,3,2.5,0.2,2.0,0.1
670,relation_graph,temporal_relation,36,9,9,0,0.009031534194946289,5,0.7,3,2.5,0.2,2.0,0.1
680,relation_graph,temporal_relation,35,10,10,0,0.008459329605102539,5,0.7,3,2.5,0.2,2.0,0.1
690,relation_graph,temporal_relation,35,8,8,0,0.008312702178955078,5,0.7,3,2.5,0.2,2.0,0.1
700,relation_graph,temporal_relation,35,9,9,0,0.008306503295898438,5,0.7,3,2.5,0.2,2.0,0.1
710,relation_graph,temporal_relation,35,9,9,0,0.011196613311767578,5,0.7,3,2.5,0.2,2.0,0.1
720,relation_graph,temporal_relation,39,6,6,0,0.014055967330932617,5,0.7,3,2.5,0.2,2.0,0.1
730,relation_graph,temporal_relation,38,5,5,0,0.011220693588256836,5,0.7,3,2.5,0.2,2.0,0.1
740,relation_graph,temporal_relation,38,4,4,0,0.009881734848022461,5,0.7,3,2.5,0.2,2.0,0.1
750,relation_graph,temporal_relation,41,7,7,0,0.010988235473632812,5,0.7,3,2.5,0.2,2.0,0.1
760,relation_graph,temporal_relation,42,6,6,0,0.011661291122436523,5,0.7,3,2.5,0.2,2.0,0.1
770,relation_graph,temporal_relation,42,7,7,0,0.011783838272094727,5,0.7,3,2.5,0.2,2.0,0.1
780,relation_graph,temporal_relation,42,5,5,0,0.011682748794555664,5,0.7,3,2.5,0.2,2.0,0.1
790,relation_graph,temporal_relation,44,6,6,0,0.013234615325927734,5,0.7,3,2.5,0.2,2.0,0.1
800,relation_graph,temporal_relation,45,6,6,0,0.019502878189086914,5,0.7,3,2.5,0.2,2.0,0.1
810,relation_graph,temporal_relation,47,6,6,0,0.014582157135009766,5,0.7,3,2.5,0.2,2.0,0.1
820,relation_graph,temporal_relation,46,6,6,0,0.013963460922241211,5,0.7,3,2.5,0.2,2.0,0.1
830,relation_graph,temporal_relation,44,8,8,0,0.012640714645385742,5,0.7,3,2.5,0.2,2.0,0.1
840,relation_graph,temporal_relation,42,8,8,0,0.011846780776977539,5,0.7,3,2.5,0.2,2.0,0.1
850,relation_graph,temporal_relation,43,8,8,0,0.013355255126953125,5,0.7,3,2.5,0.2,2.0,0.1
860,relation_graph,temporal_relation,42,7,7,0,0.015850543975830078,5,0.7,3,2.5,0.2,2.0,0.1
870,relation_graph,temporal_relation,42,6,6,0,0.017019987106323242,5,0.7,3,2.5,0.2,2.0,0.1
880,relation_graph,temporal_relation,44,6,6,0,0.012985467910766602,5,0.7,3,2.5,0.2,2.0,0.1
890,relation_graph,temporal_relation,45,6,6,0,0.013565778732299805,5,0.7,3,2.5,0.2,2.0,0.1
900,relation_graph,temporal_relation,45,5,5,0,0.01361227035522461,5,0.7,3,2.5,0.2,2.0,0.1
910,relation_graph,temporal_relation,46,5,5,0,0.014107465744018555,5,0.7,3,2.5,0.2,2.0,0.1
920,relation_graph,temporal_relation,46,6,6,0,0.014059066772460938,5,0.7,3,2.5,0.2,2.0,0.1
930,relation_graph,temporal_relation,45,5,5,0,0.01928114891052246,5,0.7,3,2.5,0.2,2.0,0.1
940,relation_graph,temporal_relation,48,5,5,0,0.017286062240600586,5,0.7,3,2.5,0.2,2.0,0.1
950,relation_graph,temporal_relation,49,5,5,0,0.015659809112548828,5,0.7,3,2.5,0.2,2.0,0.1
960,relation_graph,temporal_relation,48,4,4,0,0.015166521072387695,5,0.7,3,2.5,0.2,2.0,0.1
970,relation_graph,temporal_relation,50,4,4,0,0.016297101974487305,5,0.7,3,2.5,0.2,2.0,0.1
980,relation_graph,temporal_relation,51,5,5,0,0.02081751823425293,5,0.7,3,2.5,0.2,2.0,0.1
990,relation_graph,temporal_relation,50,4,4,0,0.023359060287475586,5,0.7,3,2.5,0.2,2.0,0.1
1000,relation_graph,temporal_relation,50,4,4,0,0.01710057258605957,5,0.7,3,2.5,0.2,2.0,0.1
1010,relation_graph,temporal_relation,49,4,4,0,0.016466856002807617,5,0.7,3,2.5,0.2,2.0,0.1
1020,relation_graph,temporal_relation,49,4,4,0,0.016575098037719727,5,0.7,3,2.5,0.2,2.0,0.1
1030,relation_graph,temporal_relation,48,3,3,0,0.01588153839111328,5,0.7,3,2.5,0.2,2.0,0.1
1040,relation_graph,temporal_relation,48,4,4,0,0.022878646850585938,5,0.7,3,2.5,0.2,2.0,0.1
1050,relation_graph,temporal_relation,45,4,4,0,0.01640009880065918,5,0.7,3,2.5,0.2,2.0,0.1
1060,relation_graph,temporal_relation,45,5,5,0,0.013941764831542969,5,0.7,3,2.5,0.2,2.0,0.1
1070,relation_graph,temporal_relation,45,4,4,0,0.013769149780273438,5,0.7,3,2.5,0.2,2.0,0.1
