stage,method_name,avg_num_clusters,std_num_clusters,avg_noise_ratio,mean_cluster_count_change,max_cluster_count_change
A_baseline,dbscan_spatial_xy,4.652495378927911,1.216148391316137,0.0770965250759736,0.7037037037037037,4.0
B_motion,window_velocity_eps0.8_mw1.0,7.652495378927911,2.4452028361060005,0.317104055546745,0.7907407407407407,4.0
B_motion,window_velocity_eps1.0_mw0.5,3.953789279112754,1.2951796185870776,0.1067733917481899,0.5740740740740741,4.0
B_motion,momentum_eps1.0_mw0.5,4.011090573012939,1.3122876946893884,0.102568098865075,0.4925925925925926,4.0
C_temporal,relation_graph_dt2.5_vt0.2,4.857670979667283,1.5974752449449148,0.0,0.7611111111111111,3.0
C_temporal,affinity_spectral,3.0,0.0,0.0,0.0,0.0
