stage,method_name,avg_num_clusters,min_num_clusters,max_num_clusters,std_num_clusters,avg_noise_ratio,avg_runtime_sec,ratio_frames_at_least_2_clusters
A_baseline,dbscan_spatial_xy,4.652495378927911,2,8,1.216148391316137,0.0770965250759736,0.0008496607958499,1.0
B_motion,window_velocity_eps0.8_mw1.0,7.652495378927911,2,14,2.4452028361060005,0.317104055546745,0.0006574663349088,1.0
B_motion,window_velocity_eps1.0_mw0.5,3.953789279112754,2,9,1.2951796185870776,0.1067733917481899,0.0006837655347728,1.0
B_motion,momentum_eps1.0_mw0.5,4.011090573012939,2,9,1.3122876946893884,0.102568098865075,0.0006906311965914,1.0
C_temporal,relation_graph_dt2.5_vt0.2,4.857670979667283,2,10,1.5974752449449148,0.0,0.0090199129418392,1.0
C_temporal,affinity_spectral,3.0,3,3,0.0,0.0,0.0142418685990649,1.0
