time_step,method,feature_type,num_pedestrians,num_clusters,noise_ratio,runtime_sec,n_clusters_param,eps,min_samples
0,gmm,spatial_xy,29,3,0.0,0.027823686599731445,3,0.6,2
10,gmm,spatial_xy,30,3,0.0,0.021893978118896484,3,0.6,2
20,gmm,spatial_xy,31,3,0.0,0.02565789222717285,3,0.6,2
30,gmm,spatial_xy,32,3,0.0,0.021386384963989258,3,0.6,2
40,gmm,spatial_xy,33,3,0.0,0.024117708206176758,3,0.6,2
50,gmm,spatial_xy,36,3,0.0,0.018596172332763672,3,0.6,2
60,gmm,spatial_xy,37,3,0.0,0.02172994613647461,3,0.6,2
70,gmm,spatial_xy,38,3,0.0,0.022153377532958984,3,0.6,2
80,gmm,spatial_xy,38,3,0.0,0.0259096622467041,3,0.6,2
90,gmm,spatial_xy,39,3,0.0,0.025563716888427734,3,0.6,2
100,gmm,spatial_xy,38,3,0.0,0.014903068542480469,3,0.6,2
110,gmm,spatial_xy,37,3,0.0,0.019942283630371094,3,0.6,2
120,gmm,spatial_xy,36,3,0.0,0.021544933319091797,3,0.6,2
130,gmm,spatial_xy,36,3,0.0,0.0216519832611084,3,0.6,2
140,gmm,spatial_xy,36,3,0.0,0.02352738380432129,3,0.6,2
150,gmm,spatial_xy,37,3,0.0,0.021338462829589844,3,0.6,2
160,gmm,spatial_xy,35,3,0.0,0.023701190948486328,3,0.6,2
170,gmm,spatial_xy,36,3,0.0,0.019320249557495117,3,0.6,2
180,gmm,spatial_xy,34,3,0.0,0.022217988967895508,3,0.6,2
190,gmm,spatial_xy,37,3,0.0,0.020728588104248047,3,0.6,2
200,gmm,spatial_xy,37,3,0.0,0.021971464157104492,3,0.6,2
210,gmm,spatial_xy,37,3,0.0,0.019966602325439453,3,0.6,2
220,gmm,spatial_xy,37,3,0.0,0.021464824676513672,3,0.6,2
230,gmm,spatial_xy,36,3,0.0,0.018443584442138672,3,0.6,2
240,gmm,spatial_xy,37,3,0.0,0.023925304412841797,3,0.6,2
250,gmm,spatial_xy,36,3,0.0,0.021421194076538086,3,0.6,2
260,gmm,spatial_xy,37,3,0.0,0.023259401321411133,3,0.6,2
270,gmm,spatial_xy,36,3,0.0,0.012482881546020508,3,0.6,2
