time_step,method,feature_type,num_pedestrians,num_clusters,noise_ratio,runtime_sec,n_clusters_param,eps,min_samples
800,kmeans,spatial_xy,45,3,0.0,0.009837627410888672,3,0.6,2
810,kmeans,spatial_xy,47,3,0.0,0.00974583625793457,3,0.6,2
820,kmeans,spatial_xy,46,3,0.0,0.010445833206176758,3,0.6,2
830,kmeans,spatial_xy,44,3,0.0,0.00879049301147461,3,0.6,2
840,kmeans,spatial_xy,42,3,0.0,0.010814666748046875,3,0.6,2
850,kmeans,spatial_xy,43,3,0.0,0.009607315063476562,3,0.6,2
860,kmeans,spatial_xy,42,3,0.0,0.009248971939086914,3,0.6,2
870,kmeans,spatial_xy,42,3,0.0,0.010275125503540039,3,0.6,2
880,kmeans,spatial_xy,44,3,0.0,0.009861946105957031,3,0.6,2
890,kmeans,spatial_xy,45,3,0.0,0.009929895401000977,3,0.6,2
900,kmeans,spatial_xy,45,3,0.0,0.00954747200012207,3,0.6,2
910,kmeans,spatial_xy,46,3,0.0,0.010424137115478516,3,0.6,2
920,kmeans,spatial_xy,46,3,0.0,0.010876178741455078,3,0.6,2
930,kmeans,spatial_xy,45,3,0.0,0.009497404098510742,3,0.6,2
940,kmeans,spatial_xy,48,3,0.0,0.00909733772277832,3,0.6,2
950,kmeans,spatial_xy,49,3,0.0,0.00902247428894043,3,0.6,2
960,kmeans,spatial_xy,48,3,0.0,0.009094476699829102,3,0.6,2
970,kmeans,spatial_xy,50,3,0.0,0.011576414108276367,3,0.6,2
980,kmeans,spatial_xy,51,3,0.0,0.009472131729125977,3,0.6,2
990,kmeans,spatial_xy,50,3,0.0,0.009320259094238281,3,0.6,2
1000,kmeans,spatial_xy,50,3,0.0,0.01143956184387207,3,0.6,2
1010,kmeans,spatial_xy,49,3,0.0,0.010329484939575195,3,0.6,2
1020,kmeans,spatial_xy,49,3,0.0,0.010931968688964844,3,0.6,2
1030,kmeans,spatial_xy,48,3,0.0,0.010299444198608398,3,0.6,2
1040,kmeans,spatial_xy,48,3,0.0,0.010512351989746094,3,0.6,2
1050,kmeans,spatial_xy,45,3,0.0,0.010115385055541992,3,0.6,2
1060,kmeans,spatial_xy,45,3,0.0,0.008956670761108398,3,0.6,2
1070,kmeans,spatial_xy,45,3,0.0,0.009275436401367188,3,0.6,2
1080,kmeans,spatial_xy,44,3,0.0,0.00923466682434082,3,0.6,2
1090,kmeans,spatial_xy,44,3,0.0,0.009354352951049805,3,0.6,2
1100,kmeans,spatial_xy,43,3,0.0,0.00939035415649414,3,0.6,2
1110,kmeans,spatial_xy,44,3,0.0,0.009507179260253906,3,0.6,2
1120,kmeans,spatial_xy,45,3,0.0,0.00970005989074707,3,0.6,2
1130,kmeans,spatial_xy,45,3,0.0,0.00921940803527832,3,0.6,2
1140,kmeans,spatial_xy,44,3,0.0,0.009607076644897461,3,0.6,2
1150,kmeans,spatial_xy,47,3,0.0,0.008829593658447266,3,0.6,2
1160,kmeans,spatial_xy,47,3,0.0,0.009642839431762695,3,0.6,2
1170,kmeans,spatial_xy,44,3,0.0,0.008974313735961914,3,0.6,2
1180,kmeans,spatial_xy,43,3,0.0,0.008472919464111328,3,0.6,2
1190,kmeans,spatial_xy,43,3,0.0,0.00874018669128418,3,0.6,2
1200,kmeans,spatial_xy,43,3,0.0,0.008661508560180664,3,0.6,2
1210,kmeans,spatial_xy,41,3,0.0,0.008565425872802734,3,0.6,2
1220,kmeans,spatial_xy,41,3,0.0,0.008570432662963867,3,0.6,2
1230,kmeans,spatial_xy,40,3,0.0,0.008921623229980469,3,0.6,2
1240,kmeans,spatial_xy,39,3,0.0,0.0077092647552490234,3,0.6,2
1250,kmeans,spatial_xy,39,3,0.0,0.007874488830566406,3,0.6,2
1260,kmeans,spatial_xy,39,3,0.0,0.0073549747467041016,3,0.6,2
1270,kmeans,spatial_xy,38,3,0.0,0.007318735122680664,3,0.6,2
1280,kmeans,spatial_xy,38,3,0.0,0.007456779479980469,3,0.6,2
1290,kmeans,spatial_xy,38,3,0.0,0.008512258529663086,3,0.6,2
1300,kmeans,spatial_xy,39,3,0.0,0.007627725601196289,3,0.6,2
1310,kmeans,spatial_xy,38,3,0.0,0.00829768180847168,3,0.6,2
1320,kmeans,spatial_xy,39,3,0.0,0.007643461227416992,3,0.6,2
1330,kmeans,spatial_xy,37,3,0.0,0.007563591003417969,3,0.6,2
1340,kmeans,spatial_xy,35,3,0.0,0.0075836181640625,3,0.6,2
1350,kmeans,spatial_xy,32,3,0.0,0.0076160430908203125,3,0.6,2
1360,kmeans,spatial_xy,32,3,0.0,0.007193565368652344,3,0.6,2
1370,kmeans,spatial_xy,31,3,0.0,0.007119178771972656,3,0.6,2
1380,kmeans,spatial_xy,32,3,0.0,0.007212400436401367,3,0.6,2
1390,kmeans,spatial_xy,32,3,0.0,0.007787227630615234,3,0.6,2
1400,kmeans,spatial_xy,32,3,0.0,0.0074863433837890625,3,0.6,2
1410,kmeans,spatial_xy,32,3,0.0,0.007418155670166016,3,0.6,2
1420,kmeans,spatial_xy,31,3,0.0,0.007347583770751953,3,0.6,2
1430,kmeans,spatial_xy,29,3,0.0,0.00732421875,3,0.6,2
1440,kmeans,spatial_xy,27,3,0.0,0.0073778629302978516,3,0.6,2
1450,kmeans,spatial_xy,26,3,0.0,0.0076618194580078125,3,0.6,2
1460,kmeans,spatial_xy,27,3,0.0,0.0072460174560546875,3,0.6,2
1470,kmeans,spatial_xy,26,3,0.0,0.0073089599609375,3,0.6,2
1480,kmeans,spatial_xy,27,3,0.0,0.00764012336730957,3,0.6,2
1490,kmeans,spatial_xy,29,3,0.0,0.007232189178466797,3,0.6,2
1500,kmeans,spatial_xy,30,3,0.0,0.0077207088470458984,3,0.6,2
1510,kmeans,spatial_xy,28,3,0.0,0.00699615478515625,3,0.6,2
1520,kmeans,spatial_xy,27,3,0.0,0.0071179866790771484,3,0.6,2
1530,kmeans,spatial_xy,30,3,0.0,0.007277011871337891,3,0.6,2
1540,kmeans,spatial_xy,31,3,0.0,0.007122516632080078,3,0.6,2
1550,kmeans,spatial_xy,31,3,0.0,0.007394075393676758,3,0.6,2
1560,kmeans,spatial_xy,31,3,0.0,0.0074656009674072266,3,0.6,2
1570,kmeans,spatial_xy,32,3,0.0,0.007196664810180664,3,0.6,2
1580,kmeans,spatial_xy,33,3,0.0,0.007584810256958008,3,0.6,2
1590,kmeans,spatial_xy,32,3,0.0,0.008167505264282227,3,0.6,2
1600,kmeans,spatial_xy,32,3,0.0,0.007376432418823242,3,0.6,2
1610,kmeans,spatial_xy,32,3,0.0,0.007265806198120117,3,0.6,2
1620,kmeans,spatial_xy,34,3,0.0,0.007051944732666016,3,0.6,2
1630,kmeans,spatial_xy,34,3,0.0,0.0071794986724853516,3,0.6,2
1640,kmeans,spatial_xy,35,3,0.0,0.00795125961303711,3,0.6,2
1650,kmeans,spatial_xy,35,3,0.0,0.007766246795654297,3,0.6,2
1660,kmeans,spatial_xy,36,3,0.0,0.007590293884277344,3,0.6,2
1670,kmeans,spatial_xy,37,3,0.0,0.007138490676879883,3,0.6,2
1680,kmeans,spatial_xy,38,3,0.0,0.007481098175048828,3,0.6,2
1690,kmeans,spatial_xy,40,3,0.0,0.007875680923461914,3,0.6,2
1700,kmeans,spatial_xy,40,3,0.0,0.008753299713134766,3,0.6,2
1710,kmeans,spatial_xy,40,3,0.0,0.007859945297241211,3,0.6,2
1720,kmeans,spatial_xy,40,3,0.0,0.007543087005615234,3,0.6,2
1730,kmeans,spatial_xy,43,3,0.0,0.007599830627441406,3,0.6,2
1740,kmeans,spatial_xy,44,3,0.0,0.008365631103515625,3,0.6,2
1750,kmeans,spatial_xy,44,3,0.0,0.009335041046142578,3,0.6,2
1760,kmeans,spatial_xy,46,3,0.0,0.007849454879760742,3,0.6,2
1770,kmeans,spatial_xy,47,3,0.0,0.008040189743041992,3,0.6,2
1780,kmeans,spatial_xy,44,3,0.0,0.008069753646850586,3,0.6,2
1790,kmeans,spatial_xy,43,3,0.0,0.007854461669921875,3,0.6,2
1800,kmeans,spatial_xy,42,3,0.0,0.008141279220581055,3,0.6,2
1810,kmeans,spatial_xy,42,3,0.0,0.007628917694091797,3,0.6,2
1820,kmeans,spatial_xy,44,3,0.0,0.008420944213867188,3,0.6,2
1830,kmeans,spatial_xy,43,3,0.0,0.008986949920654297,3,0.6,2
1840,kmeans,spatial_xy,43,3,0.0,0.008226394653320312,3,0.6,2
1850,kmeans,spatial_xy,45,3,0.0,0.008671283721923828,3,0.6,2
1860,kmeans,spatial_xy,43,3,0.0,0.007999658584594727,3,0.6,2
