time_step,method,feature_mode,num_pedestrians,num_clusters,noise_ratio,raw_dbscan_num_clusters,raw_dbscan_noise_ratio,used_fallback,runtime_sec,eps,min_samples,window_size,momentum_alpha,position_weight,motion_weight
400,dbscan_kmeans_fallback,window_velocity,37,6,0.08108108108108109,6,0.08108108108108109,0,0.0006060600280761719,1.0,2,5,0.7,1.0,0.5
410,dbscan_kmeans_fallback,window_velocity,37,6,0.10810810810810811,6,0.10810810810810811,0,0.0005824565887451172,1.0,2,5,0.7,1.0,0.5
420,dbscan_kmeans_fallback,window_velocity,37,4,0.13513513513513514,4,0.13513513513513514,0,0.0005915164947509766,1.0,2,5,0.7,1.0,0.5
430,dbscan_kmeans_fallback,window_velocity,37,4,0.10810810810810811,4,0.10810810810810811,0,0.001003265380859375,1.0,2,5,0.7,1.0,0.5
440,dbscan_kmeans_fallback,window_velocity,37,5,0.10810810810810811,5,0.10810810810810811,0,0.0005855560302734375,1.0,2,5,0.7,1.0,0.5
450,dbscan_kmeans_fallback,window_velocity,37,4,0.13513513513513514,4,0.13513513513513514,0,0.0005948543548583984,1.0,2,5,0.7,1.0,0.5
460,dbscan_kmeans_fallback,window_velocity,38,5,0.13157894736842105,5,0.13157894736842105,0,0.0005822181701660156,1.0,2,5,0.7,1.0,0.5
470,dbscan_kmeans_fallback,window_velocity,36,5,0.08333333333333333,5,0.08333333333333333,0,0.0005903244018554688,1.0,2,5,0.7,1.0,0.5
480,dbscan_kmeans_fallback,window_velocity,36,4,0.05555555555555555,4,0.05555555555555555,0,0.0005846023559570312,1.0,2,5,0.7,1.0,0.5
490,dbscan_kmeans_fallback,window_velocity,36,4,0.05555555555555555,4,0.05555555555555555,0,0.000640869140625,1.0,2,5,0.7,1.0,0.5
500,dbscan_kmeans_fallback,window_velocity,37,4,0.02702702702702703,4,0.02702702702702703,0,0.0005905628204345703,1.0,2,5,0.7,1.0,0.5
510,dbscan_kmeans_fallback,window_velocity,36,4,0.0,4,0.0,0,0.0005977153778076172,1.0,2,5,0.7,1.0,0.5
520,dbscan_kmeans_fallback,window_velocity,36,4,0.0,4,0.0,0,0.000583648681640625,1.0,2,5,0.7,1.0,0.5
530,dbscan_kmeans_fallback,window_velocity,36,4,0.0,4,0.0,0,0.00061798095703125,1.0,2,5,0.7,1.0,0.5
540,dbscan_kmeans_fallback,window_velocity,37,4,0.0,4,0.0,0,0.0005915164947509766,1.0,2,5,0.7,1.0,0.5
550,dbscan_kmeans_fallback,window_velocity,38,4,0.0,4,0.0,0,0.0006461143493652344,1.0,2,5,0.7,1.0,0.5
560,dbscan_kmeans_fallback,window_velocity,38,4,0.05263157894736842,4,0.05263157894736842,0,0.0005862712860107422,1.0,2,5,0.7,1.0,0.5
570,dbscan_kmeans_fallback,window_velocity,39,6,0.1282051282051282,6,0.1282051282051282,0,0.0006015300750732422,1.0,2,5,0.7,1.0,0.5
580,dbscan_kmeans_fallback,window_velocity,39,6,0.10256410256410256,6,0.10256410256410256,0,0.0006077289581298828,1.0,2,5,0.7,1.0,0.5
590,dbscan_kmeans_fallback,window_velocity,38,5,0.13157894736842105,5,0.13157894736842105,0,0.0005917549133300781,1.0,2,5,0.7,1.0,0.5
600,dbscan_kmeans_fallback,window_velocity,37,4,0.13513513513513514,4,0.13513513513513514,0,0.000591278076171875,1.0,2,5,0.7,1.0,0.5
610,dbscan_kmeans_fallback,window_velocity,34,4,0.14705882352941177,4,0.14705882352941177,0,0.0006296634674072266,1.0,2,5,0.7,1.0,0.5
620,dbscan_kmeans_fallback,window_velocity,35,6,0.14285714285714285,6,0.14285714285714285,0,0.0005805492401123047,1.0,2,5,0.7,1.0,0.5
630,dbscan_kmeans_fallback,window_velocity,38,6,0.13157894736842105,6,0.13157894736842105,0,0.0006003379821777344,1.0,2,5,0.7,1.0,0.5
640,dbscan_kmeans_fallback,window_velocity,37,7,0.16216216216216217,7,0.16216216216216217,0,0.0006024837493896484,1.0,2,5,0.7,1.0,0.5
650,dbscan_kmeans_fallback,window_velocity,35,5,0.2,5,0.2,0,0.0005755424499511719,1.0,2,5,0.7,1.0,0.5
660,dbscan_kmeans_fallback,window_velocity,35,4,0.2,4,0.2,0,0.0006010532379150391,1.0,2,5,0.7,1.0,0.5
670,dbscan_kmeans_fallback,window_velocity,36,4,0.1388888888888889,4,0.1388888888888889,0,0.0006327629089355469,1.0,2,5,0.7,1.0,0.5
680,dbscan_kmeans_fallback,window_velocity,35,4,0.14285714285714285,4,0.14285714285714285,0,0.0005917549133300781,1.0,2,5,0.7,1.0,0.5
690,dbscan_kmeans_fallback,window_velocity,35,4,0.14285714285714285,4,0.14285714285714285,0,0.0006511211395263672,1.0,2,5,0.7,1.0,0.5
700,dbscan_kmeans_fallback,window_velocity,35,5,0.14285714285714285,5,0.14285714285714285,0,0.0006501674652099609,1.0,2,5,0.7,1.0,0.5
710,dbscan_kmeans_fallback,window_velocity,35,3,0.22857142857142856,3,0.22857142857142856,0,0.0006463527679443359,1.0,2,5,0.7,1.0,0.5
720,dbscan_kmeans_fallback,window_velocity,39,3,0.15384615384615385,3,0.15384615384615385,0,0.0006663799285888672,1.0,2,5,0.7,1.0,0.5
730,dbscan_kmeans_fallback,window_velocity,38,4,0.21052631578947367,4,0.21052631578947367,0,0.000690460205078125,1.0,2,5,0.7,1.0,0.5
740,dbscan_kmeans_fallback,window_velocity,38,4,0.21052631578947367,4,0.21052631578947367,0,0.0006589889526367188,1.0,2,5,0.7,1.0,0.5
750,dbscan_kmeans_fallback,window_velocity,41,3,0.1951219512195122,3,0.1951219512195122,0,0.0005993843078613281,1.0,2,5,0.7,1.0,0.5
760,dbscan_kmeans_fallback,window_velocity,42,4,0.19047619047619047,4,0.19047619047619047,0,0.0006580352783203125,1.0,2,5,0.7,1.0,0.5
770,dbscan_kmeans_fallback,window_velocity,42,2,0.23809523809523808,2,0.23809523809523808,0,0.0006494522094726562,1.0,2,5,0.7,1.0,0.5
780,dbscan_kmeans_fallback,window_velocity,42,4,0.21428571428571427,4,0.21428571428571427,0,0.0006566047668457031,1.0,2,5,0.7,1.0,0.5
790,dbscan_kmeans_fallback,window_velocity,44,3,0.20454545454545456,3,0.20454545454545456,0,0.0007109642028808594,1.0,2,5,0.7,1.0,0.5
